name,address,city,zip_code,latitude,longitude,visited,visited_date
Garfield Playfield,537 25th Ave,Seattle,98122,47.607098,-122.301412,N,
Gas Works Park,2101 N Northlake Way,Seattle,98103,47.645639,-122.334906,Y,
Gateway Park,Logan Ave S & S 3rd St,Renton,,47.47994016,-122.20949482,N,
Gene Coulon Memorial Park,1201 Lake Washington Blvd N,Renton,,47.50609831,-122.20187419,N,
Genesee Park and Playfield,4316 S Genesee St,Seattle,98118,47.564856,-122.278744,N,
Georgetown Playfield,750 S Homer St,Seattle,98108,47.55162,-122.321396,N,
Gerber Park,575 M L King Jr Way S,Seattle,98122,47.607709,-122.296568,N,
Gilman Playground,923 NW 54th St,Seattle,98107,47.667292,-122.369684,N,
Glencoe Park,4440 NE 24th St,Renton,,47.51327525,-122.15968502,N,
Gloria's Path,Fremont Ave N & N 163rd St,Shoreline,,47.74613224259341,-122.35096593380725,N,
Goddard Mini Park,715 100th Ave NE,Bellevue,98004,47.616878955691,-122.20729472884,N,
Golden Gardens Park,8498 Seaview Pl NW,Seattle,98117,47.686852,-122.403454,N,
Goldsmith Neighborhood Park,14475 NE 35th Street,Bellevue,98007,47.640290422037,-122.14766065542,N,
Grand Army of the Republic Cemetery,1200 E Howe St,Seattle,98102,47.636461,-122.316261,N,
Grandview Off-Leash Dog Park,3600 S 228th St,SeaTac,98198,47.3983825454046,-122.28546597424062,N,
Grandview Park,3600 S. 228th St Seatac,Burien,,47.397563979171316,-122.2878929843767,N,
Grass Lawn Park,7031 148th Avenue NE,Redmond,,47.66827986411564,-122.14604092028996,N,
Green Lake Park,7201 E Greenlake Dr N,Seattle,98115,47.678938,-122.330394,Y,
Greenwood Park,602 N 87th St,Seattle,98117,47.693048,-122.350647,N,
Greenwood Triangle,304 NW 55th St,Seattle,98107,47.668902,-122.361032,N,
Greg Davis Park,2600 SW Brandon St,Seattle,98106,47.55437,-122.366001,N,
Hamilton Viewpoint Park,1120 California Ave SW,Seattle,98116,47.590748,-122.38907,N,
Hamlin Park,16006 15th Ave NE,Shoreline,,47.746496646041365,-122.30823979322092,N,
Harborview Park,779 Alder St,Seattle,98104,47.603014,-122.323693,N,
Harrison Ridge Greenbelt,138 32nd Ave E,Seattle,98112,47.619711,-122.290339,N,
Hartman Park,17300 NE 104th Street,Redmond,,47.69103986131831,-122.10812176629977,N,
Harvard-Miller/Roanoke Annex,2351 Broadway E,Seattle,98102,47.641091,-122.321643,N,
Hazel Valley Park,251 SW 126th Street,Burien,,47.48975727917711,-122.3399094842309,N,
Hazelnut Park,14475 59th Avenue South,Tukwila,98168,47.473342446353,-122.259160437344,N,
Hazen Hills Park,13215 121st Ave NE,Kirkland,,47.71869234635964,-122.1789351368479,N,
Hemlock,N 192nd,Shoreline,,47.76734301073485,-122.34779708857889,N,
Heritage Park,111 Waverly Way,Kirkland,,47.67838580114569,-122.21126302459,N,
Heritage Park,233 Union Ave NE,Renton,,47.48582729,-122.1655636,N,
Heron Rookery Park,North side of Leary Way between NE 76th St and 159th PL NE,Redmond,,47.67214048282215,-122.12624488673542,N,
Heronfield Wetlands,11225 NE 120th St,Kirkland,,47.70852473644645,-122.1935683412328,N,
Herring's House Park (T'ul'altx),4570 West Marginal Way SW,Seattle,98106,47.561514,-122.349545,N,
Hiawatha Playfield,2700 California Ave SW,Seattle,98116,47.578272,-122.384965,N,
Hidden Valley Park,1903 112th Ave NE,Bellevue,98004,47.627258695843,-122.19176595091,N,
Highland Drive Parkway,165 Highland Dr,Seattle,98109,47.629736,-122.353337,N,
Highland Park Playground,1100 SW Cloverdale St,Seattle,98106,47.52738,-122.349034,N,
"Highland Park, Community Center and Bellevue Skate Park",14224 Bel-Red Road,Bellevue,98007,47.625268077889,-122.1511232635,N,
Highland Place,93 Highland Dr,Seattle,98109,47.629656,-122.355466,N,
Highlands Park,11210 NE 102nd St,Kirkland,,47.69099974400107,-122.18973931217481,N,
Highlands Park,800 Edmonds Ave NE,Renton,,47.49578512,-122.18419233,N,
Hillaire Park,15803 NE 6th St,Bellevue,98008,47.614879486814,-122.12961326299,N,
Hilltop Park,2600 S 128th Street,Burien,,47.48901737917695,-122.30157978423091,N,
Hillwood Park,19001 3rd Ave NW,Shoreline,,47.767727388828746,-122.36374916572454,N,
Hing Hay Park,423 Maynard Ave S,Seattle,98104,47.598609,-122.325435,Y,
Hitt's Hill Park,5234 37th Ave S,Seattle,98118,47.554207,-122.28455,N,
Homer Harris Park,2401 E Howell St,Seattle,98122,47.617309,-122.300994,N,
Homestead Park,SE 40th Street & 82nd Avenue SE,Mercer Island,98040,47.573795795104,-122.22999177531,N,
Horiuchi Park,156 Boren Ave,Seattle,98122,47.603132,-122.318982,N,
Horton Hill Corridor,3298 36th Ave S,Seattle,98144,47.573846,-122.287187,N,
Howell Park,1740 Howell Pl,Seattle,98122,47.617518,-122.280313,N,
Hubbard Homestead,11203 5th Ave NE,Seattle,98125,47.709964,-122.324674,N,
Hunter Boulevard,3299 Hunter Blvd S,Seattle,98144,47.573877,-122.285153,N,
Hutchinson Playground,59th Ave S & S Norfolk St,Seattle,98118,47.514312,-122.260062,N,
Hyde Place,3811 E Madison St,Seattle,98112,47.632304,-122.282887,N,
I-5 Colonnade,1701 Lakeview Blvd E,Seattle,98102,47.634898,-122.323409,N,
Idylwood Beach Park,3650 West Lake Sammamish Parkway NE,Redmond,,47.642849193030486,-122.10306247085403,N,
Innis Arden Reserve,17601 14th Ave NW,Shoreline,,47.75595521380287,-122.37847255015593,N,
Interbay Athletic Complex,3027 17th Ave W,Seattle,98119,47.647239,-122.379191,N,
Interbay Golf,2501 15th Ave W,Seattle,98119,47.643753,-122.378455,N,
Interlaken Park,2451 Delmar Dr E,Seattle,98102,47.636257,-122.308316,N,
International Children's Park,700 S Lane St,Seattle,98104,47.596897,-122.323412,N,
Interurban ROW access,,Shoreline,,47.73679388048971,-122.34745397454638,N,
Interurban Trail,N 145th St to N 205th St,Shoreline,,47.769017532262836,-122.34277264918295,N,
Inverness Ravine Park,8619 45th Ave NE,Seattle,98115,47.691145,-122.280809,N,
